id,year,month,value
0,1961,1,0.0614
1,1961,1,0.5587
2,1961,1,0.4934
3,1961,1,0.0331
4,1961,1,0.3914
5,1961,1,0.0478
6,1961,1,0.0077
7,1961,1,0.0608
8,1961,1,0.0037
9,1961,1,0.0361
10,1961,1,0.0556
11,1961,1,0.0802
12,1961,1,0.0696
13,1961,1,0.073
14,1961,1,0.2981
15,1961,1,0.4018
16,1961,1,0.0979
17,1961,1,0.0
18,1961,1,0.0408
19,1961,1,0.0212
20,1961,1,0.0121
21,1961,1,0.0326
22,1961,1,0.0173
23,1961,1,0.0297
24,1961,1,0.0652
25,1961,1,0.0
26,1961,1,0.6615
27,1961,1,5.5915
28,1961,1,0.3634
29,1961,1,0.0
30,1961,1,0.0993
31,1961,1,0.3172
32,1961,1,0.2563
33,1961,1,0.4391
34,1961,1,0.1328
35,1961,1,0.0397
36,1961,1,0.0189
37,1961,1,0.1479
38,1961,1,0.0643
39,1961,1,0.1334
40,1961,1,0.0555
41,1961,1,0.0666
42,1961,1,0.0516
43,1961,1,0.0538
44,1961,1,0.0233
45,1961,1,0.2352
46,1961,1,0.0
47,1961,1,0.0012
48,1961,1,0.1569
49,1961,1,0.0
50,1961,1,2.7705
51,1961,1,0.0164
52,1961,1,0.2919
53,1961,1,0.2172
54,1961,1,0.0
55,1961,1,0.0067
56,1961,1,0.5392
57,1961,1,3.009
58,1961,1,0.0804
59,1961,1,0.0763
60,1961,1,0.1655
61,1961,1,0.0212
62,1961,1,0.4977
63,1961,1,3.686
64,1961,1,0.0056
65,1961,1,1.0752
66,1961,1,2.7445
67,1961,1,0.8728
68,1961,1,1.8383
69,1961,1,3.1858
70,1961,1,0.2447
71,1961,1,3.6433
72,1961,1,0.5024
73,1961,1,0.3267
74,1961,1,0.0
75,1961,1,0.0419
76,1961,1,0.0493
77,1961,1,0.0733
78,1961,1,0.0588
79,1961,1,0.0996
80,1961,1,0.2288
81,1961,1,0.0114
82,1961,1,0.0006
83,1961,1,0.2974
0,1961,2,0.0709
1,1961,2,0.3289
2,1961,2,0.8263
3,1961,2,1e-04
4,1961,2,1.4548
5,1961,2,0.0242
6,1961,2,0.0
7,1961,2,0.0593
8,1961,2,0.0
9,1961,2,0.0
10,1961,2,0.0103
11,1961,2,0.0732
12,1961,2,0.0
13,1961,2,0.0574
14,1961,2,0.9357
15,1961,2,2.2186
16,1961,2,0.0581
17,1961,2,0.0
18,1961,2,0.005
19,1961,2,0.0
20,1961,2,0.0
21,1961,2,0.0
22,1961,2,0.0091
23,1961,2,0.009
24,1961,2,0.0121
25,1961,2,0.0
26,1961,2,1.2741
27,1961,2,10.3987
28,1961,2,0.4764
29,1961,2,0.0
30,1961,2,0.0
31,1961,2,0.2252
32,1961,2,0.0636
33,1961,2,0.8022
34,1961,2,0.2884
35,1961,2,0.0
36,1961,2,0.0166
37,1961,2,0.1245
38,1961,2,0.0
39,1961,2,0.0019
40,1961,2,0.0
41,1961,2,0.0612
42,1961,2,0.0044
43,1961,2,0.0429
44,1961,2,0.0018
45,1961,2,0.0437
46,1961,2,0.0
47,1961,2,0.0
48,1961,2,0.0521
49,1961,2,0.0
50,1961,2,8.7571
51,1961,2,0.0002
52,1961,2,0.648
53,1961,2,0.5237
54,1961,2,0.0
55,1961,2,0.0
56,1961,2,1.4704
57,1961,2,6.9149
58,1961,2,0.1692
59,1961,2,0.1021
60,1961,2,0.2437
61,1961,2,0.0181
62,1961,2,1.0648
63,1961,2,8.9198
64,1961,2,0.0
65,1961,2,2.5088
66,1961,2,5.8697
67,1961,2,4.6219
68,1961,2,4.0174
69,1961,2,6.3611
70,1961,2,0.4533
71,1961,2,8.4584
72,1961,2,1.0344
73,1961,2,0.7502
74,1961,2,0.0
75,1961,2,0.0566
76,1961,2,0.1189
77,1961,2,0.0992
