id,year,month,value
0,1961,1,2.7879
1,1961,1,0.0422
2,1961,1,0.0446
3,1961,1,3.0909
4,1961,1,0.0998
5,1961,1,6.1918
6,1961,1,1.9802
7,1961,1,4.4505
8,1961,1,2.6586
9,1961,1,1.7434
10,1961,1,7.0711
11,1961,1,4.8309
12,1961,1,9.2062
13,1961,1,10.099
14,1961,1,0.1751
15,1961,1,0.0003
16,1961,1,0.0517
17,1961,1,2.9334
18,1961,1,0.9065
19,1961,1,0.4587
20,1961,1,2.231
21,1961,1,0.1159
22,1961,1,2.4132
23,1961,1,6.04
24,1961,1,0.261
25,1961,1,2.0433
26,1961,1,-0.0004
27,1961,1,0.099
28,1961,1,-0.0149
29,1961,1,0.6751
30,1961,1,7.6445
31,1961,1,0.0502
32,1961,1,0.1748
33,1961,1,-0.032
34,1961,1,0.978
35,1961,1,4.0762
36,1961,1,8.7863
37,1961,1,6.8286
38,1961,1,8.7259
39,1961,1,9.1541
40,1961,1,6.7134
41,1961,1,6.2502
42,1961,1,9.4304
43,1961,1,1.2844
44,1961,1,0.0
45,1961,1,0.2053
46,1961,1,1.0936
47,1961,1,7.5541
48,1961,1,0.0951
49,1961,1,1.7535
50,1961,1,0.2737
51,1961,1,1.7037
52,1961,1,0.7607
53,1961,1,0.7138
54,1961,1,1.218
55,1961,1,1.0654
56,1961,1,0.0814
57,1961,1,0.0093
58,1961,1,1.0196
59,1961,1,0.7106
60,1961,1,0.0095
61,1961,1,0.0657
62,1961,1,0.0583
63,1961,1,0.0612
64,1961,1,4.8316
65,1961,1,0.1112
66,1961,1,0.0533
67,1961,1,1.0969
68,1961,1,0.2276
69,1961,1,0.0621
70,1961,1,0.1774
71,1961,1,0.0331
72,1961,1,0.1608
73,1961,1,1.307
74,1961,1,3.0998
75,1961,1,17.5614
76,1961,1,10.5549
77,1961,1,10.8732
78,1961,1,8.9969
79,1961,1,0.0046
80,1961,1,0.3115
81,1961,1,1.2486
82,1961,1,2.5414
83,1961,1,0.1069
0,1961,2,60.4188
1,1961,2,3.0278
2,1961,2,2.9542
3,1961,2,37.0657
4,1961,2,4.4906
5,1961,2,43.6869
6,1961,2,34.0054
7,1961,2,44.3025
8,1961,2,27.0115
9,1961,2,24.6668
10,1961,2,43.0215
11,1961,2,43.3319
12,1961,2,38.4533
13,1961,2,43.3465
14,1961,2,7.6718
15,1961,2,1.8699
16,1961,2,11.8328
17,1961,2,40.2621
18,1961,2,23.1619
19,1961,2,24.6833
20,1961,2,37.502
21,1961,2,12.5019
22,1961,2,37.5199
23,1961,2,40.5866
24,1961,2,13.0965
25,1961,2,34.0735
26,1961,2,23.7034
27,1961,2,28.0699
28,1961,2,3.9958
29,1961,2,27.8817
30,1961,2,35.8828
31,1961,2,10.3455
32,1961,2,31.8851
33,1961,2,5.1224
34,1961,2,26.9198
35,1961,2,38.9667
36,1961,2,43.3483
37,1961,2,37.3929
38,1961,2,46.8399
39,1961,2,40.5284
40,1961,2,49.956
41,1961,2,51.4946
42,1961,2,40.5235
43,1961,2,7.0294
44,1961,2,0.1648
45,1961,2,17.6749
46,1961,2,30.625
47,1961,2,48.8807
48,1961,2,11.7523
49,1961,2,31.4049
50,1961,2,32.2563
51,1961,2,24.5691
52,1961,2,50.0379
53,1961,2,15.1297
54,1961,2,24.1833
55,1961,2,26.5528
56,1961,2,13.6259
57,1961,2,46.2673
58,1961,2,48.138
59,1961,2,14.9399
60,1961,2,7.0021
61,1961,2,10.9686
62,1961,2,3.9605
63,1961,2,23.7048
64,1961,2,50.2157
65,1961,2,13.8114
66,1961,2,10.4363
67,1961,2,43.7424
68,1961,2,18.0881
69,1961,2,20.8347
70,1961,2,43.9014
71,1961,2,26.9502
72,1961,2,5.614
73,1961,2,29.9556
74,1961,2,27.9316
75,1961,2,37.4398
76,1961,2,33.7123
77,1961,2,41.1225
78,1961,2,43.264
79,1961,2,10.3296
80,1961,2,20.8524
81,1961,2,35.7226
82,1961,2,31.8425
83,1961,2,36.6389
0,1961,3,7.543
1,1961,3,0.6368
2,1961,3,0.6534
3,1961,3,7.0044
4,1961,3,0.3661
5,1961,3,3.4915
6,1961,3,4.4907
7,1961,3,9.4067
8,1961,3,8.4652
9,1961,3,11.4107
10,1961,3,4.9309
11,1961,3,9.6056
12,1961,3,3.6006
13,1961,3,3.9302
14,1961,3,2.2109
15,1961,3,0.2065
16,1961,3,2.8844
17,1961,3,14.664
18,1961,3,5.7364
19,1961,3,16.6473
20,1961,3,8.6569
21,1961,3,3.7477
22,1961,3,3.5629
23,1961,3,4.8533
24,1961,3,5.2027
25,1961,3,15.2856
26,1961,3,4.1053
27,1961,3,24.0542
28,1961,3,0.7794
29,1961,3,16.2042
30,1961,3,5.6471
31,1961,3,3.0579
32,1961,3,15.4097
33,1961,3,0.1132
34,1961,3,6.6966
35,1961,3,10.6007
36,1961,3,7.8034
37,1961,3,3.0402
38,1961,3,5.8162
39,1961,3,5.8621
40,1961,3,6.9482
41,1961,3,6.4998
42,1961,3,4.4627
43,1961,3,1.1049
44,1961,3,-0.0979
45,1961,3,9.0349
46,1961,3,20.263
47,1961,3,5.3375
48,1961,3,8.4317
49,1961,3,14.4956
50,1961,3,0.3414
51,1961,3,7.3144
52,1961,3,1.1616
53,1961,3,4.8782
54,1961,3,11.5343
55,1961,3,15.349
56,1961,3,0.4578
57,1961,3,9.1513
58,1961,3,6.7665
59,1961,3,4.2873
60,1961,3,1.3338
61,1961,3,1.7256
62,1961,3,0.7211
63,1961,3,6.8317
64,1961,3,11.104
65,1961,3,1.7768
66,1961,3,4.7647
67,1961,3,3.8697
68,1961,3,2.8664
69,1961,3,14.376
70,1961,3,5.9485
71,1961,3,11.3546
72,1961,3,1.0175
73,1961,3,6.3581
74,1961,3,6.4872
75,1961,3,2.9245
76,1961,3,4.1774
77,1961,3,1.7427
